N,P,K,temprature,humidity,ph,rainfall,label
74,39,32,30.95,55,6.25,611.72,Pearl Millet (Bajra)
70,38,31,30.63,55,6.27,603.81,Pearl Millet (Bajra)
73,38,33,30.72,54,6.16,601.99,Pearl Millet (Bajra)
74,39,33,30.65,55,6.14,616.31,Pearl Millet (Bajra)
71,38,32,30.74,55,6.2,614.14,Pearl Millet (Bajra)
73,40,32,30.96,55,6.29,611.18,Pearl Millet (Bajra)
74,38,32,30.84,55,6.26,609.69,Pearl Millet (Bajra)
70,40,32,30.56,55,6.24,624.4,Pearl Millet (Bajra)
72,39,32,30.62,55,6.1,626.9,Pearl Millet (Bajra)
73,37,33,30.7,55,6.13,610.76,Pearl Millet (Bajra)
72,39,31,30.75,55,6.22,600.7,Pearl Millet (Bajra)
75,40,32,30.75,54,6.22,618.9,Pearl Millet (Bajra)
72,38,31,30.97,55,6.13,623.01,Pearl Millet (Bajra)
72,38,33,30.51,55,6.3,624.41,Pearl Millet (Bajra)
72,40,32,30.78,56,6.2,610.64,Pearl Millet (Bajra)
74,39,32,30.61,55,6.17,614.12,Pearl Millet (Bajra)
73,38,32,30.84,54,6.16,619.75,Pearl Millet (Bajra)
72,40,32,30.56,55,6.18,616.83,Pearl Millet (Bajra)
72,38,32,30.73,55,6.12,614.11,Pearl Millet (Bajra)
73,38,32,30.72,54,6.19,613.78,Pearl Millet (Bajra)
71,39,33,30.89,55,6.11,610.82,Pearl Millet (Bajra)
75,39,32,30.94,56,6.18,610.35,Pearl Millet (Bajra)
73,38,32,30.68,55,6.21,610.92,Pearl Millet (Bajra)
73,38,32,30.63,55,6.14,622.99,Pearl Millet (Bajra)
73,39,32,30.89,55,6.24,621.19,Pearl Millet (Bajra)
75,38,31,30.58,56,6.18,618.42,Pearl Millet (Bajra)
71,37,32,30.81,56,6.15,621.28,Pearl Millet (Bajra)
73,38,32,30.66,55,6.21,624.96,Pearl Millet (Bajra)
73,38,32,30.74,55,6.23,605.18,Pearl Millet (Bajra)
70,38,31,30.7,55,6.14,603.51,Pearl Millet (Bajra)
74,39,32,30.53,55,6.24,623.93,Pearl Millet (Bajra)
74,39,33,30.67,56,6.25,615.25,Pearl Millet (Bajra)
71,39,31,30.98,55,6.13,607.28,Pearl Millet (Bajra)
71,39,32,30.85,55,6.18,624.5,Pearl Millet (Bajra)
71,39,32,30.92,54,6.16,610.9,Pearl Millet (Bajra)
73,38,32,30.67,55,6.21,621.86,Pearl Millet (Bajra)
75,40,33,30.65,55,6.24,602.17,Pearl Millet (Bajra)
73,37,32,30.75,55,6.12,615.47,Pearl Millet (Bajra)
70,40,32,30.53,56,6.17,607.74,Pearl Millet (Bajra)
74,38,33,30.79,56,6.26,601.02,Pearl Millet (Bajra)
72,38,33,30.65,56,6.12,623.68,Pearl Millet (Bajra)
75,38,33,30.79,55,6.23,618.8,Pearl Millet (Bajra)
70,39,32,30.75,56,6.21,609.52,Pearl Millet (Bajra)
73,38,31,30.69,54,6.27,622.77,Pearl Millet (Bajra)
73,39,31,30.7,56,6.19,618.97,Pearl Millet (Bajra)
72,37,33,30.65,55,6.17,600.7,Pearl Millet (Bajra)
71,38,31,30.65,55,6.15,615.88,Pearl Millet (Bajra)
74,37,32,30.77,55,6.18,617.23,Pearl Millet (Bajra)
73,39,32,30.61,55,6.27,612.29,Pearl Millet (Bajra)
71,39,33,30.82,55,6.15,629.24,Pearl Millet (Bajra)
75,39,33,30.65,55,6.21,620.84,Pearl Millet (Bajra)
72,38,32,30.79,56,6.22,614.91,Pearl Millet (Bajra)
70,37,32,30.59,55,6.14,608.49,Pearl Millet (Bajra)
72,39,32,30.89,55,6.27,604.48,Pearl Millet (Bajra)
72,39,32,30.81,55,6.15,620.89,Pearl Millet (Bajra)
74,40,32,30.67,55,6.23,610.94,Pearl Millet (Bajra)
73,39,32,30.68,55,6.22,607.38,Pearl Millet (Bajra)
71,37,32,30.7,55,6.23,623.05,Pearl Millet (Bajra)
73,38,31,30.63,56,6.18,609.65,Pearl Millet (Bajra)
70,37,31,30.82,54,6.13,614.41,Pearl Millet (Bajra)
75,38,32,30.5,56,6.18,621.25,Pearl Millet (Bajra)
73,39,32,30.66,54,6.19,615.93,Pearl Millet (Bajra)
71,38,32,30.58,55,6.12,615.0,Pearl Millet (Bajra)
72,38,32,30.75,56,6.19,609.04,Pearl Millet (Bajra)
71,39,32,30.74,55,6.25,616.55,Pearl Millet (Bajra)
70,40,32,30.83,55,6.1,619.53,Pearl Millet (Bajra)
74,39,33,30.79,56,6.21,612.47,Pearl Millet (Bajra)
73,38,31,30.78,55,6.26,609.48,Pearl Millet (Bajra)
74,40,32,30.73,54,6.17,620.43,Pearl Millet (Bajra)
72,38,32,30.71,56,6.15,620.35,Pearl Millet (Bajra)
73,37,31,30.54,55,6.18,611.92,Pearl Millet (Bajra)
70,39,32,30.73,56,6.21,612.72,Pearl Millet (Bajra)
72,39,32,30.66,55,6.23,607.66,Pearl Millet (Bajra)
73,39,31,30.77,54,6.16,603.56,Pearl Millet (Bajra)
71,37,32,30.81,55,6.22,602.34,Pearl Millet (Bajra)
72,38,33,30.66,55,6.13,621.44,Pearl Millet (Bajra)
71,37,31,30.8,55,6.17,613.28,Pearl Millet (Bajra)
71,38,32,30.88,55,6.18,605.85,Pearl Millet (Bajra)
73,38,32,30.86,55,6.2,609.52,Pearl Millet (Bajra)
71,39,32,30.81,55,6.11,615.36,Pearl Millet (Bajra)
72,38,32,30.8,55,6.22,609.85,Pearl Millet (Bajra)
73,38,32,30.7,55,6.18,611.08,Pearl Millet (Bajra)
73,38,32,30.98,54,6.15,614.79,Pearl Millet (Bajra)
71,38,33,30.54,55,6.23,620.38,Pearl Millet (Bajra)
72,37,32,30.62,54,6.13,626.04,Pearl Millet (Bajra)
73,37,31,30.64,55,6.24,623.19,Pearl Millet (Bajra)
73,38,33,30.8,55,6.26,615.38,Pearl Millet (Bajra)
75,38,33,30.87,55,6.25,610.17,Pearl Millet (Bajra)
71,39,32,30.67,55,6.19,614.26,Pearl Millet (Bajra)
72,38,33,30.61,55,6.23,618.68,Pearl Millet (Bajra)
72,39,32,30.66,55,6.1,614.11,Pearl Millet (Bajra)
72,39,32,30.64,55,6.24,616.57,Pearl Millet (Bajra)
73,37,31,30.81,54,6.14,625.03,Pearl Millet (Bajra)
72,37,31,30.63,55,6.27,600.91,Pearl Millet (Bajra)
72,38,32,30.64,55,6.11,626.63,Pearl Millet (Bajra)
70,40,31,30.96,54,6.18,606.45,Pearl Millet (Bajra)
74,38,32,30.74,56,6.23,606.18,Pearl Millet (Bajra)
72,37,32,30.66,55,6.11,620.14,Pearl Millet (Bajra)
73,39,32,30.79,55,6.23,617.53,Pearl Millet (Bajra)
72,38,32,30.62,56,6.19,610.77,Pearl Millet (Bajra)
74,38,31,30.68,55,6.2,611.61,Pearl Millet (Bajra)
71,38,31,30.85,55,6.18,616.34,Pearl Millet (Bajra)
72,38,32,30.63,54,6.15,618.99,Pearl Millet (Bajra)
75,39,33,30.77,56,6.2,607.77,Pearl Millet (Bajra)
74,39,31,30.74,54,6.14,604.94,Pearl Millet (Bajra)
71,38,33,30.91,54,6.14,619.21,Pearl Millet (Bajra)
72,37,32,30.62,55,6.21,609.41,Pearl Millet (Bajra)
70,37,32,30.51,55,6.23,616.74,Pearl Millet (Bajra)
72,38,32,30.57,55,6.14,625.33,Pearl Millet (Bajra)
72,40,33,30.83,55,6.26,605.72,Pearl Millet (Bajra)
73,40,33,30.7,55,6.13,610.15,Pearl Millet (Bajra)
72,39,32,30.85,56,6.18,613.53,Pearl Millet (Bajra)
71,40,31,30.74,55,6.15,622.5,Pearl Millet (Bajra)
73,39,32,30.8,55,6.1,626.24,Pearl Millet (Bajra)
73,38,32,30.76,55,6.21,615.35,Pearl Millet (Bajra)
75,38,32,30.63,55,6.18,626.35,Pearl Millet (Bajra)
75,39,31,30.74,55,6.22,613.3,Pearl Millet (Bajra)
74,39,32,30.83,56,6.23,600.01,Pearl Millet (Bajra)
70,38,32,30.5,55,6.21,615.18,Pearl Millet (Bajra)
73,38,33,30.93,55,6.21,608.02,Pearl Millet (Bajra)
73,39,32,30.67,54,6.18,618.35,Pearl Millet (Bajra)
71,39,32,30.79,54,6.2,607.38,Pearl Millet (Bajra)
73,39,33,30.63,54,6.18,621.76,Pearl Millet (Bajra)
74,37,31,30.57,56,6.2,619.81,Pearl Millet (Bajra)
73,38,33,30.68,55,6.11,619.39,Pearl Millet (Bajra)
72,38,32,30.88,54,6.21,607.09,Pearl Millet (Bajra)
70,39,32,30.89,55,6.23,610.76,Pearl Millet (Bajra)
71,38,33,30.58,56,6.2,608.43,Pearl Millet (Bajra)
73,38,32,30.72,56,6.16,627.3,Pearl Millet (Bajra)
72,39,33,30.73,54,6.23,608.91,Pearl Millet (Bajra)
73,39,33,30.51,55,6.1,620.39,Pearl Millet (Bajra)
73,38,31,30.81,55,6.22,613.97,Pearl Millet (Bajra)
72,39,32,30.88,55,6.21,612.14,Pearl Millet (Bajra)
71,39,33,30.73,54,6.15,612.43,Pearl Millet (Bajra)
71,38,32,30.88,55,6.11,616.3,Pearl Millet (Bajra)
73,37,32,30.66,55,6.16,608.07,Pearl Millet (Bajra)
72,38,32,30.59,54,6.23,602.94,Pearl Millet (Bajra)
72,39,33,30.57,55,6.17,619.02,Pearl Millet (Bajra)
75,39,32,30.71,54,6.18,618.44,Pearl Millet (Bajra)
74,39,33,30.78,54,6.17,614.18,Pearl Millet (Bajra)
74,37,32,30.69,55,6.18,620.0,Pearl Millet (Bajra)
74,39,33,30.81,54,6.21,623.83,Pearl Millet (Bajra)
72,38,33,30.61,55,6.25,621.34,Pearl Millet (Bajra)
73,39,33,30.78,55,6.22,607.34,Pearl Millet (Bajra)
72,38,31,30.7,55,6.19,623.75,Pearl Millet (Bajra)
73,38,33,30.8,55,6.26,622.14,Pearl Millet (Bajra)
74,39,32,30.8,56,6.21,615.57,Pearl Millet (Bajra)
73,38,32,30.65,55,6.14,603.06,Pearl Millet (Bajra)
71,39,32,30.7,54,6.12,608.95,Pearl Millet (Bajra)
72,38,31,30.78,55,6.13,619.99,Pearl Millet (Bajra)
73,39,32,30.71,55,6.18,605.59,Pearl Millet (Bajra)
73,37,32,30.93,55,6.26,624.78,Pearl Millet (Bajra)
70,38,32,30.8,55,6.26,605.32,Pearl Millet (Bajra)
71,38,32,30.66,55,6.16,621.88,Pearl Millet (Bajra)
71,40,32,30.81,55,6.12,611.69,Pearl Millet (Bajra)
72,38,33,30.7,55,6.27,610.05,Pearl Millet (Bajra)
74,38,31,30.62,55,6.17,626.9,Pearl Millet (Bajra)
73,38,32,30.59,54,6.18,613.96,Pearl Millet (Bajra)
72,37,33,30.59,55,6.2,604.21,Pearl Millet (Bajra)
74,39,32,30.78,55,6.22,627.68,Pearl Millet (Bajra)
75,39,32,30.72,54,6.19,615.86,Pearl Millet (Bajra)
73,39,32,30.81,55,6.21,604.51,Pearl Millet (Bajra)
71,38,33,30.61,56,6.13,607.94,Pearl Millet (Bajra)
71,38,32,30.74,54,6.2,619.01,Pearl Millet (Bajra)
71,39,32,30.6,54,6.14,613.75,Pearl Millet (Bajra)
72,39,32,30.57,55,6.27,608.03,Pearl Millet (Bajra)
73,39,32,30.55,54,6.22,610.7,Pearl Millet (Bajra)
74,38,32,30.67,55,6.2,617.86,Pearl Millet (Bajra)
73,38,32,30.84,55,6.18,604.95,Pearl Millet (Bajra)
72,40,31,30.79,54,6.21,608.57,Pearl Millet (Bajra)
73,39,33,30.89,55,6.17,614.31,Pearl Millet (Bajra)
72,38,33,30.75,55,6.1,626.84,Pearl Millet (Bajra)
71,37,33,30.8,55,6.2,618.83,Pearl Millet (Bajra)
72,39,32,30.6,55,6.29,612.8,Pearl Millet (Bajra)
71,40,32,30.72,55,6.27,619.03,Pearl Millet (Bajra)
74,38,32,30.86,54,6.28,615.14,Pearl Millet (Bajra)
73,38,31,30.83,56,6.2,608.96,Pearl Millet (Bajra)
73,39,32,30.53,56,6.15,608.74,Pearl Millet (Bajra)
74,38,32,30.6,55,6.22,609.38,Pearl Millet (Bajra)
74,38,32,30.68,55,6.25,621.5,Pearl Millet (Bajra)
74,38,33,30.97,55,6.18,609.58,Pearl Millet (Bajra)
74,40,31,30.8,55,6.16,611.76,Pearl Millet (Bajra)
71,40,31,30.7,55,6.18,620.72,Pearl Millet (Bajra)
71,38,32,30.65,55,6.11,622.93,Pearl Millet (Bajra)
70,39,31,30.69,55,6.29,616.55,Pearl Millet (Bajra)
71,38,32,30.82,55,6.11,609.8,Pearl Millet (Bajra)
72,39,32,30.68,54,6.18,615.26,Pearl Millet (Bajra)
72,39,32,30.61,56,6.24,614.61,Pearl Millet (Bajra)
70,40,32,30.93,55,6.17,618.85,Pearl Millet (Bajra)
71,38,33,30.67,56,6.27,609.88,Pearl Millet (Bajra)
71,38,32,30.76,55,6.26,606.25,Pearl Millet (Bajra)
74,39,32,30.78,55,6.22,618.93,Pearl Millet (Bajra)
74,38,32,30.91,56,6.22,612.79,Pearl Millet (Bajra)
71,39,33,30.55,55,6.29,612.85,Pearl Millet (Bajra)
72,39,32,30.74,55,6.12,614.61,Pearl Millet (Bajra)
74,38,33,30.77,54,6.15,601.17,Pearl Millet (Bajra)
71,39,32,30.56,55,6.26,624.21,Pearl Millet (Bajra)
73,38,32,30.67,55,6.21,626.6,Pearl Millet (Bajra)
73,37,32,30.51,56,6.12,626.1,Pearl Millet (Bajra)
73,38,33,30.79,55,6.22,616.88,Pearl Millet (Bajra)
75,38,33,30.73,54,6.23,619.83,Pearl Millet (Bajra)
71,39,32,30.54,55,6.17,620.99,Pearl Millet (Bajra)
74,38,32,30.67,54,6.28,617.27,Pearl Millet (Bajra)
75,38,33,30.61,55,6.18,604.28,Pearl Millet (Bajra)
74,39,31,30.79,55,6.15,615.21,Pearl Millet (Bajra)
73,38,32,30.77,55,6.17,619.29,Pearl Millet (Bajra)
71,38,32,30.8,55,6.19,622.12,Pearl Millet (Bajra)
72,39,32,30.52,55,6.17,607.05,Pearl Millet (Bajra)
73,37,33,30.91,54,6.21,620.4,Pearl Millet (Bajra)
74,38,31,30.66,55,6.24,613.47,Pearl Millet (Bajra)
71,39,33,30.83,56,6.13,622.69,Pearl Millet (Bajra)
74,40,32,30.82,54,6.28,612.0,Pearl Millet (Bajra)
72,39,32,30.92,55,6.29,612.82,Pearl Millet (Bajra)
74,38,31,30.96,55,6.11,618.38,Pearl Millet (Bajra)
73,39,32,30.7,55,6.27,622.68,Pearl Millet (Bajra)
72,38,32,30.64,55,6.15,621.04,Pearl Millet (Bajra)
74,37,33,30.91,55,6.26,612.96,Pearl Millet (Bajra)
74,37,32,30.72,54,6.25,616.0,Pearl Millet (Bajra)
73,39,31,30.86,55,6.11,615.63,Pearl Millet (Bajra)
73,37,32,30.94,54,6.16,606.66,Pearl Millet (Bajra)
70,39,33,30.92,55,6.18,606.1,Pearl Millet (Bajra)
75,37,31,30.69,55,6.28,616.78,Pearl Millet (Bajra)
72,39,32,30.67,55,6.2,617.33,Pearl Millet (Bajra)
73,39,32,30.7,54,6.28,605.33,Pearl Millet (Bajra)
71,39,32,30.51,55,6.14,629.6,Pearl Millet (Bajra)
73,39,33,30.77,54,6.15,612.37,Pearl Millet (Bajra)
72,38,32,30.72,55,6.22,610.45,Pearl Millet (Bajra)
72,38,32,30.7,55,6.26,608.38,Pearl Millet (Bajra)
73,39,31,30.61,56,6.26,606.39,Pearl Millet (Bajra)
71,38,32,30.64,55,6.17,607.03,Pearl Millet (Bajra)
72,37,32,30.72,56,6.12,611.8,Pearl Millet (Bajra)
74,39,33,30.64,55,6.22,618.19,Pearl Millet (Bajra)
72,38,32,30.7,55,6.15,610.06,Pearl Millet (Bajra)
74,39,32,30.95,54,6.2,621.21,Pearl Millet (Bajra)
72,37,32,30.59,56,6.16,604.36,Pearl Millet (Bajra)
72,39,32,30.71,54,6.19,606.79,Pearl Millet (Bajra)
72,37,32,30.86,55,6.13,605.52,Pearl Millet (Bajra)
72,38,32,30.72,55,6.21,622.94,Pearl Millet (Bajra)
74,39,31,30.67,55,6.11,628.8,Pearl Millet (Bajra)
74,38,32,30.68,55,6.21,616.94,Pearl Millet (Bajra)
73,38,32,30.59,54,6.14,605.74,Pearl Millet (Bajra)
71,38,32,30.6,56,6.15,616.89,Pearl Millet (Bajra)
73,37,33,30.79,54,6.18,603.33,Pearl Millet (Bajra)
72,39,33,30.91,55,6.29,605.35,Pearl Millet (Bajra)
71,39,32,30.6,56,6.13,605.69,Pearl Millet (Bajra)
72,38,32,30.56,56,6.2,628.35,Pearl Millet (Bajra)
74,38,32,30.68,55,6.26,603.03,Pearl Millet (Bajra)
73,38,31,30.56,55,6.25,611.44,Pearl Millet (Bajra)
75,38,32,30.65,56,6.17,606.33,Pearl Millet (Bajra)
72,38,32,30.64,56,6.27,619.67,Pearl Millet (Bajra)
73,40,33,30.6,56,6.22,607.02,Pearl Millet (Bajra)
72,39,32,30.66,54,6.13,613.06,Pearl Millet (Bajra)
74,38,32,30.91,56,6.14,621.78,Pearl Millet (Bajra)
75,37,33,30.92,55,6.25,617.89,Pearl Millet (Bajra)
73,37,31,30.74,55,6.12,624.03,Pearl Millet (Bajra)
72,38,32,30.64,55,6.14,615.15,Pearl Millet (Bajra)
73,39,32,30.71,55,6.17,607.84,Pearl Millet (Bajra)
71,38,32,30.83,55,6.2,619.31,Pearl Millet (Bajra)
71,39,32,30.9,54,6.2,602.58,Pearl Millet (Bajra)
72,38,32,30.53,54,6.12,611.73,Pearl Millet (Bajra)
75,39,32,30.72,55,6.14,611.46,Pearl Millet (Bajra)
72,38,31,30.74,55,6.12,620.89,Pearl Millet (Bajra)
72,38,31,30.86,55,6.12,616.87,Pearl Millet (Bajra)
73,39,32,30.7,56,6.17,619.67,Pearl Millet (Bajra)
72,39,33,30.69,54,6.23,615.56,Pearl Millet (Bajra)
71,38,32,30.94,55,6.21,609.05,Pearl Millet (Bajra)
73,39,32,30.71,54,6.15,601.32,Pearl Millet (Bajra)
74,39,32,30.95,55,6.24,607.12,Pearl Millet (Bajra)
72,38,31,30.58,55,6.26,602.8,Pearl Millet (Bajra)
74,38,33,30.73,56,6.17,610.17,Pearl Millet (Bajra)
71,38,32,30.51,55,6.2,613.37,Pearl Millet (Bajra)
73,38,32,30.72,54,6.26,623.37,Pearl Millet (Bajra)
74,37,33,30.72,54,6.14,608.84,Pearl Millet (Bajra)
73,39,33,30.71,55,6.27,600.22,Pearl Millet (Bajra)
73,37,31,30.68,55,6.29,601.79,Pearl Millet (Bajra)
73,39,32,30.69,55,6.1,609.48,Pearl Millet (Bajra)
71,39,31,30.57,55,6.23,614.61,Pearl Millet (Bajra)
74,39,32,30.74,56,6.21,609.05,Pearl Millet (Bajra)
72,39,32,30.7,55,6.27,623.13,Pearl Millet (Bajra)
71,37,33,30.58,55,6.2,624.55,Pearl Millet (Bajra)
71,38,32,30.59,54,6.23,615.15,Pearl Millet (Bajra)
73,37,31,30.62,54,6.15,600.43,Pearl Millet (Bajra)
74,37,32,30.71,56,6.26,602.9,Pearl Millet (Bajra)
74,39,32,30.98,55,6.19,617.92,Pearl Millet (Bajra)
74,38,32,30.8,56,6.11,609.19,Pearl Millet (Bajra)
74,39,32,30.75,55,6.22,615.18,Pearl Millet (Bajra)
72,39,32,30.74,55,6.25,618.01,Pearl Millet (Bajra)
74,38,32,30.77,56,6.25,602.75,Pearl Millet (Bajra)
72,40,31,30.66,54,6.29,609.27,Pearl Millet (Bajra)
75,38,32,30.8,56,6.23,606.05,Pearl Millet (Bajra)
74,39,33,30.71,55,6.21,616.16,Pearl Millet (Bajra)
73,38,33,30.8,56,6.28,603.24,Pearl Millet (Bajra)
72,39,31,30.88,56,6.29,613.12,Pearl Millet (Bajra)
71,39,31,30.71,55,6.1,621.93,Pearl Millet (Bajra)
74,38,32,30.66,56,6.2,617.86,Pearl Millet (Bajra)
74,37,32,30.69,54,6.24,619.53,Pearl Millet (Bajra)
72,37,32,30.71,55,6.17,622.06,Pearl Millet (Bajra)
71,40,32,30.81,54,6.13,611.65,Pearl Millet (Bajra)
72,38,33,30.93,55,6.29,618.22,Pearl Millet (Bajra)
71,39,32,30.7,55,6.18,615.84,Pearl Millet (Bajra)
70,38,32,30.63,55,6.26,610.95,Pearl Millet (Bajra)
74,37,33,30.86,55,6.24,626.24,Pearl Millet (Bajra)
74,39,31,30.7,56,6.27,603.22,Pearl Millet (Bajra)
72,38,33,30.76,55,6.23,602.87,Pearl Millet (Bajra)
71,37,32,30.84,55,6.21,613.74,Pearl Millet (Bajra)
73,40,33,30.63,54,6.29,605.88,Pearl Millet (Bajra)
73,37,33,30.81,55,6.23,607.67,Pearl Millet (Bajra)
71,39,32,30.73,55,6.19,616.22,Pearl Millet (Bajra)
71,39,33,30.9,54,6.25,610.34,Pearl Millet (Bajra)
72,38,32,30.77,55,6.26,614.9,Pearl Millet (Bajra)
74,38,32,30.53,55,6.13,618.49,Pearl Millet (Bajra)
75,38,31,30.62,55,6.22,618.89,Pearl Millet (Bajra)
71,39,32,30.84,55,6.25,613.78,Pearl Millet (Bajra)
74,39,33,30.58,55,6.22,620.41,Pearl Millet (Bajra)
75,39,32,30.66,55,6.14,625.18,Pearl Millet (Bajra)
71,38,32,30.53,55,6.18,620.92,Pearl Millet (Bajra)
71,38,32,30.68,55,6.23,616.05,Pearl Millet (Bajra)
71,37,32,30.72,54,6.17,623.63,Pearl Millet (Bajra)
72,38,32,30.79,55,6.19,620.55,Pearl Millet (Bajra)
73,38,32,30.6,55,6.2,622.49,Pearl Millet (Bajra)
74,39,32,30.74,55,6.21,604.07,Pearl Millet (Bajra)
73,39,32,30.82,54,6.21,605.44,Pearl Millet (Bajra)
73,38,32,30.71,56,6.17,617.42,Pearl Millet (Bajra)
70,38,33,30.98,55,6.21,624.06,Pearl Millet (Bajra)
73,38,32,30.65,55,6.16,605.25,Pearl Millet (Bajra)
73,39,32,30.75,55,6.11,620.34,Pearl Millet (Bajra)
74,37,32,30.77,55,6.25,600.7,Pearl Millet (Bajra)
70,38,32,30.6,55,6.14,612.51,Pearl Millet (Bajra)
74,38,32,30.79,55,6.27,618.12,Pearl Millet (Bajra)
73,39,32,30.74,55,6.11,622.69,Pearl Millet (Bajra)
70,39,32,30.66,55,6.15,605.19,Pearl Millet (Bajra)
72,38,33,30.8,54,6.15,612.66,Pearl Millet (Bajra)
74,39,32,30.71,56,6.23,620.78,Pearl Millet (Bajra)
72,38,31,30.89,55,6.27,607.73,Pearl Millet (Bajra)
75,38,32,30.53,56,6.25,617.29,Pearl Millet (Bajra)
71,40,32,30.67,55,6.14,618.05,Pearl Millet (Bajra)
71,38,32,30.56,56,6.14,606.31,Pearl Millet (Bajra)
73,38,31,30.62,55,6.2,603.46,Pearl Millet (Bajra)
72,38,32,30.82,55,6.27,620.06,Pearl Millet (Bajra)
71,38,31,30.65,56,6.19,619.46,Pearl Millet (Bajra)
70,39,31,30.66,55,6.22,609.26,Pearl Millet (Bajra)
73,37,32,30.9,56,6.23,621.81,Pearl Millet (Bajra)
70,38,32,30.54,54,6.3,617.05,Pearl Millet (Bajra)
70,38,32,30.78,55,6.11,609.34,Pearl Millet (Bajra)
71,39,33,30.95,55,6.19,608.15,Pearl Millet (Bajra)
74,37,32,30.6,55,6.22,619.66,Pearl Millet (Bajra)
70,39,33,30.83,55,6.2,600.02,Pearl Millet (Bajra)
72,39,32,30.83,55,6.21,614.7,Pearl Millet (Bajra)
72,38,33,30.69,56,6.28,612.05,Pearl Millet (Bajra)
72,40,32,30.72,54,6.27,611.34,Pearl Millet (Bajra)
72,40,32,30.9,55,6.18,627.61,Pearl Millet (Bajra)
72,39,32,30.72,55,6.2,623.83,Pearl Millet (Bajra)
72,37,33,30.55,54,6.1,614.0,Pearl Millet (Bajra)
74,39,32,30.79,56,6.17,605.92,Pearl Millet (Bajra)
72,38,31,30.69,56,6.26,613.73,Pearl Millet (Bajra)
72,37,33,30.8,55,6.15,601.25,Pearl Millet (Bajra)
70,38,32,30.53,55,6.22,615.27,Pearl Millet (Bajra)
71,38,32,30.61,56,6.23,608.89,Pearl Millet (Bajra)
72,39,32,30.52,55,6.26,615.95,Pearl Millet (Bajra)
71,38,31,30.79,55,6.25,622.84,Pearl Millet (Bajra)
74,40,31,30.55,55,6.23,619.0,Pearl Millet (Bajra)
74,37,32,30.8,54,6.22,629.62,Pearl Millet (Bajra)
71,39,32,30.53,56,6.17,615.03,Pearl Millet (Bajra)
73,39,32,30.8,56,6.16,620.85,Pearl Millet (Bajra)
71,38,32,30.77,54,6.14,603.73,Pearl Millet (Bajra)
73,38,31,30.71,54,6.26,616.04,Pearl Millet (Bajra)
73,39,31,30.56,55,6.27,609.94,Pearl Millet (Bajra)
71,37,33,30.61,54,6.2,614.72,Pearl Millet (Bajra)
70,39,32,30.78,55,6.27,614.47,Pearl Millet (Bajra)
71,38,33,30.73,55,6.11,609.86,Pearl Millet (Bajra)
74,39,32,30.69,55,6.18,612.09,Pearl Millet (Bajra)
74,38,32,30.56,54,6.23,619.25,Pearl Millet (Bajra)
70,39,33,30.53,55,6.29,626.72,Pearl Millet (Bajra)
72,38,31,30.92,54,6.18,611.16,Pearl Millet (Bajra)
74,38,32,30.65,55,6.19,617.77,Pearl Millet (Bajra)
72,37,33,30.78,54,6.23,620.3,Pearl Millet (Bajra)
73,40,32,30.84,56,6.22,609.38,Pearl Millet (Bajra)
73,38,31,30.81,55,6.16,624.29,Pearl Millet (Bajra)
72,38,33,30.59,55,6.23,605.87,Pearl Millet (Bajra)
73,39,31,30.81,55,6.28,614.71,Pearl Millet (Bajra)
71,38,31,30.85,55,6.15,612.35,Pearl Millet (Bajra)
72,38,32,30.75,55,6.21,600.71,Pearl Millet (Bajra)
73,38,33,30.86,55,6.23,607.78,Pearl Millet (Bajra)
73,40,31,30.57,54,6.16,601.55,Pearl Millet (Bajra)
73,37,32,30.7,56,6.14,617.35,Pearl Millet (Bajra)
72,38,31,30.83,55,6.19,610.63,Pearl Millet (Bajra)
73,38,32,30.72,55,6.24,624.13,Pearl Millet (Bajra)
75,39,33,30.75,56,6.25,605.89,Pearl Millet (Bajra)
72,38,32,30.62,55,6.26,610.38,Pearl Millet (Bajra)
70,37,33,30.72,56,6.21,603.5,Pearl Millet (Bajra)
73,37,32,30.68,55,6.28,604.99,Pearl Millet (Bajra)
72,38,32,30.77,55,6.23,608.62,Pearl Millet (Bajra)
71,37,32,30.7,56,6.25,607.41,Pearl Millet (Bajra)
72,39,32,30.65,54,6.27,614.69,Pearl Millet (Bajra)
70,37,32,30.83,56,6.2,613.09,Pearl Millet (Bajra)
75,38,32,30.8,55,6.19,629.98,Pearl Millet (Bajra)
72,38,32,30.7,55,6.15,612.26,Pearl Millet (Bajra)
70,40,32,30.75,55,6.3,605.2,Pearl Millet (Bajra)
74,39,33,30.65,55,6.2,613.59,Pearl Millet (Bajra)
71,37,31,30.67,55,6.14,612.91,Pearl Millet (Bajra)
73,39,32,30.67,55,6.19,617.79,Pearl Millet (Bajra)
72,37,32,30.75,55,6.24,603.52,Pearl Millet (Bajra)
74,38,32,30.73,55,6.25,623.2,Pearl Millet (Bajra)
71,37,33,30.84,56,6.28,618.87,Pearl Millet (Bajra)
70,39,31,30.6,55,6.28,612.05,Pearl Millet (Bajra)
71,38,31,30.59,56,6.22,621.75,Pearl Millet (Bajra)
73,37,32,30.52,56,6.13,619.48,Pearl Millet (Bajra)
73,38,32,30.74,55,6.25,613.14,Pearl Millet (Bajra)
73,38,32,30.72,55,6.21,600.73,Pearl Millet (Bajra)
72,39,32,30.81,56,6.28,602.7,Pearl Millet (Bajra)
71,38,32,30.79,55,6.2,602.33,Pearl Millet (Bajra)
