N,P,K,temperature,humidity,ph,rainfall,region,season,water_source,water_availability,label
40,31,35,26.21,64.56,7.29,607.16,Maharashtra,Kharif,rainfed,low,blackgram
28,40,26,27.66,70.59,6.71,599.33,Maharashtra,Kharif,rainfed,low,blackgram
27,34,31,27.48,66.76,6.41,603.79,Maharashtra,Kharif,rainfed,low,blackgram
34,28,30,28.74,65.76,7.15,571.71,Maharashtra,Kharif,rainfed,low,blackgram
25,23,31,26.76,68.05,7.04,572.74,Maharashtra,Kharif,rainfed,low,blackgram
31,33,29,26.69,68.48,6.63,613.95,Maharashtra,Kharif,rainfed,low,blackgram
32,27,28,28.24,63.45,6.53,627.34,Maharashtra,Kharif,rainfed,low,blackgram
36,28,30,27.72,69.91,6.54,631.97,Maharashtra,Kharif,rainfed,low,blackgram
23,34,28,26.89,66.96,7.0,503.93,Maharashtra,Kharif,rainfed,low,blackgram
35,22,28,28.47,61.8,6.98,587.95,Maharashtra,Kharif,rainfed,low,blackgram
26,30,31,27.78,65.48,6.42,549.56,Maharashtra,Kharif,rainfed,low,blackgram
30,31,34,26.98,74.35,7.6,675.44,Maharashtra,Kharif,rainfed,low,blackgram
25,29,26,26.0,67.54,6.4,496.91,Maharashtra,Kharif,rainfed,low,blackgram
36,34,35,27.26,66.66,6.75,524.22,Maharashtra,Kharif,rainfed,low,blackgram
33,31,30,30.19,70.1,7.26,597.5,Maharashtra,Kharif,rainfed,low,blackgram
38,26,32,29.82,58.72,6.92,637.07,Maharashtra,Kharif,rainfed,low,blackgram
23,36,33,27.84,69.32,7.17,534.37,Maharashtra,Kharif,rainfed,low,blackgram
26,37,29,26.57,62.91,7.44,711.29,Maharashtra,Kharif,rainfed,low,blackgram
40,29,33,28.03,61.31,7.29,432.76,Maharashtra,Kharif,rainfed,low,blackgram
32,39,27,25.54,65.26,7.18,570.45,Maharashtra,Kharif,rainfed,low,blackgram
35,31,24,27.26,66.73,6.72,503.43,Maharashtra,Kharif,rainfed,low,blackgram
29,28,28,28.01,65.91,7.18,488.93,Maharashtra,Kharif,rainfed,low,blackgram
26,33,28,29.07,71.99,6.71,642.99,Maharashtra,Kharif,rainfed,low,blackgram
26,31,29,27.22,64.66,6.73,475.59,Maharashtra,Kharif,rainfed,low,blackgram
31,30,31,30.06,62.52,6.83,611.44,Maharashtra,Kharif,rainfed,low,blackgram
41,36,24,28.0,61.13,7.13,496.08,Maharashtra,Kharif,rainfed,low,blackgram
29,36,35,28.69,74.27,7.21,555.99,Maharashtra,Kharif,rainfed,low,blackgram
29,27,30,24.89,69.25,6.91,680.77,Maharashtra,Kharif,rainfed,low,blackgram
37,36,39,27.6,65.04,7.05,544.39,Maharashtra,Kharif,rainfed,low,blackgram
34,28,33,29.89,70.95,7.24,569.82,Maharashtra,Kharif,rainfed,low,blackgram
31,34,26,25.84,64.75,6.76,546.3,Maharashtra,Kharif,rainfed,low,blackgram
28,36,28,26.8,72.6,6.58,656.39,Maharashtra,Kharif,rainfed,low,blackgram
29,33,27,28.21,70.8,6.91,543.81,Maharashtra,Kharif,rainfed,low,blackgram
32,37,30,28.31,76.35,6.62,632.58,Maharashtra,Kharif,rainfed,low,blackgram
24,30,28,25.74,64.66,7.11,619.22,Maharashtra,Kharif,rainfed,low,blackgram
32,32,32,29.72,68.17,6.9,552.56,Maharashtra,Kharif,rainfed,low,blackgram
27,36,33,29.5,67.07,7.06,651.28,Maharashtra,Kharif,rainfed,low,blackgram
31,32,25,29.18,67.95,6.79,486.68,Maharashtra,Kharif,rainfed,low,blackgram
32,37,35,28.6,65.77,6.97,513.48,Maharashtra,Kharif,rainfed,low,blackgram
35,29,30,28.03,66.78,6.68,703.43,Maharashtra,Kharif,rainfed,low,blackgram
33,33,23,28.04,61.87,7.06,469.41,Maharashtra,Kharif,rainfed,low,blackgram
25,20,34,27.94,61.66,6.96,385.63,Maharashtra,Kharif,rainfed,low,blackgram
30,27,29,30.09,64.14,6.85,697.13,Maharashtra,Kharif,rainfed,low,blackgram
31,36,28,28.0,64.64,6.43,511.14,Maharashtra,Kharif,rainfed,low,blackgram
38,32,27,28.63,66.0,7.1,564.39,Maharashtra,Kharif,rainfed,low,blackgram
38,33,26,25.76,63.93,7.18,498.39,Maharashtra,Kharif,rainfed,low,blackgram
31,33,30,29.18,62.47,6.78,615.96,Maharashtra,Kharif,rainfed,low,blackgram
29,31,32,27.85,65.42,6.85,489.44,Maharashtra,Kharif,rainfed,low,blackgram
35,32,29,28.95,69.52,6.91,581.09,Maharashtra,Kharif,rainfed,low,blackgram
30,27,25,31.19,67.12,6.77,561.1,Maharashtra,Kharif,rainfed,low,blackgram
35,34,34,27.94,66.56,7.11,554.37,Maharashtra,Kharif,rainfed,low,blackgram
31,33,30,28.35,68.5,7.07,642.94,Maharashtra,Kharif,rainfed,low,blackgram
28,30,39,28.94,67.2,6.79,531.01,Maharashtra,Kharif,rainfed,low,blackgram
37,35,36,29.82,67.21,6.95,485.69,Maharashtra,Kharif,rainfed,low,blackgram
30,43,33,28.77,70.96,6.61,613.74,Maharashtra,Kharif,rainfed,low,blackgram
37,33,33,29.3,66.27,6.97,601.25,Maharashtra,Kharif,rainfed,low,blackgram
33,29,29,27.76,72.49,6.56,684.56,Maharashtra,Kharif,rainfed,low,blackgram
38,38,32,28.76,65.92,7.5,555.53,Maharashtra,Kharif,rainfed,low,blackgram
29,32,32,31.4,60.8,6.96,511.53,Maharashtra,Kharif,rainfed,low,blackgram
31,32,37,25.3,72.71,6.97,519.23,Maharashtra,Kharif,rainfed,low,blackgram
34,27,32,26.62,64.95,6.74,543.65,Maharashtra,Kharif,rainfed,low,blackgram
32,32,30,27.09,70.21,6.78,484.05,Maharashtra,Kharif,rainfed,low,blackgram
35,26,27,27.62,62.98,6.9,446.58,Maharashtra,Kharif,rainfed,low,blackgram
29,36,31,27.02,62.6,6.81,557.05,Maharashtra,Kharif,rainfed,low,blackgram
35,32,22,26.83,68.82,7.13,491.93,Maharashtra,Kharif,rainfed,low,blackgram
24,28,31,26.08,67.28,7.06,603.37,Maharashtra,Kharif,rainfed,low,blackgram
32,30,31,27.95,71.75,7.76,545.67,Maharashtra,Kharif,rainfed,low,blackgram
23,38,27,30.64,68.27,7.1,554.18,Maharashtra,Kharif,rainfed,low,blackgram
28,33,28,27.98,72.59,7.46,627.97,Maharashtra,Kharif,rainfed,low,blackgram
32,38,36,28.26,64.15,6.9,578.78,Maharashtra,Kharif,rainfed,low,blackgram
27,33,28,27.84,63.37,7.12,549.83,Maharashtra,Kharif,rainfed,low,blackgram
24,38,28,28.24,69.08,7.13,406.4,Maharashtra,Kharif,rainfed,low,blackgram
30,29,20,28.65,66.47,6.88,611.57,Maharashtra,Kharif,rainfed,low,blackgram
33,36,28,27.62,59.98,6.43,537.2,Maharashtra,Kharif,rainfed,low,blackgram
38,33,33,29.92,70.67,6.74,602.21,Maharashtra,Kharif,rainfed,low,blackgram
27,22,32,28.2,64.35,6.93,542.16,Maharashtra,Kharif,rainfed,low,blackgram
39,26,29,27.89,71.42,6.26,564.87,Maharashtra,Kharif,rainfed,low,blackgram
32,28,25,30.55,72.44,6.75,514.71,Maharashtra,Kharif,rainfed,low,blackgram
31,35,28,29.05,69.86,6.73,493.82,Maharashtra,Kharif,rainfed,low,blackgram
34,29,29,29.1,63.73,7.29,573.7,Maharashtra,Kharif,rainfed,low,blackgram
36,36,29,28.62,63.23,7.16,588.29,Maharashtra,Kharif,rainfed,low,blackgram
36,28,27,29.13,70.28,6.59,427.0,Maharashtra,Kharif,rainfed,low,blackgram
27,37,30,27.87,61.69,6.69,484.87,Maharashtra,Kharif,rainfed,low,blackgram
27,31,30,27.06,65.24,7.01,651.31,Maharashtra,Kharif,rainfed,low,blackgram
26,38,37,28.12,66.09,6.95,539.59,Maharashtra,Kharif,rainfed,low,blackgram
27,38,33,28.97,63.84,6.59,406.03,Maharashtra,Kharif,rainfed,low,blackgram
25,31,35,27.53,62.74,6.52,458.92,Maharashtra,Kharif,rainfed,low,blackgram
35,29,27,28.99,68.44,6.76,683.61,Maharashtra,Kharif,rainfed,low,blackgram
31,41,36,29.07,61.11,6.57,506.5,Maharashtra,Kharif,rainfed,low,blackgram
25,34,28,28.91,65.25,7.2,581.72,Maharashtra,Kharif,rainfed,low,blackgram
36,28,31,27.42,71.11,6.8,483.15,Maharashtra,Kharif,rainfed,low,blackgram
26,29,26,26.26,66.46,7.15,537.05,Maharashtra,Kharif,rainfed,low,blackgram
23,25,32,29.12,67.22,7.16,629.89,Maharashtra,Kharif,rainfed,low,blackgram
32,29,30,26.14,68.12,6.78,524.02,Maharashtra,Kharif,rainfed,low,blackgram
34,32,37,28.37,64.63,6.88,615.06,Maharashtra,Kharif,rainfed,low,blackgram
33,34,33,31.22,64.99,7.12,503.57,Maharashtra,Kharif,rainfed,low,blackgram
30,31,26,27.84,68.89,7.05,701.27,Maharashtra,Kharif,rainfed,low,blackgram
32,30,31,24.81,60.61,7.34,508.67,Maharashtra,Kharif,rainfed,low,blackgram
37,35,34,27.55,60.29,6.97,555.03,Maharashtra,Kharif,rainfed,low,blackgram
24,31,25,26.71,69.94,7.27,632.09,Maharashtra,Kharif,rainfed,low,blackgram
33,33,28,29.45,61.76,6.91,578.24,Maharashtra,Kharif,rainfed,low,blackgram
24,34,32,33.22,39.91,6.82,63.87,Maharashtra,Summer,rainfed,low,blackgram
33,42,30,32.44,38.64,6.32,99.7,Maharashtra,Summer,rainfed,low,blackgram
26,35,30,33.71,35.75,6.78,109.25,Maharashtra,Summer,rainfed,low,blackgram
27,36,29,33.95,34.81,6.76,106.77,Maharashtra,Summer,rainfed,low,blackgram
28,36,29,34.18,36.1,7.68,73.78,Maharashtra,Summer,rainfed,low,blackgram
30,39,35,33.59,44.31,6.34,115.51,Maharashtra,Summer,rainfed,low,blackgram
26,34,33,33.01,44.58,6.85,86.2,Maharashtra,Summer,rainfed,low,blackgram
28,32,31,33.54,40.23,7.07,90.96,Maharashtra,Summer,rainfed,low,blackgram
28,33,27,31.33,44.03,6.67,57.02,Maharashtra,Summer,rainfed,low,blackgram
25,34,32,35.99,31.51,6.25,77.51,Maharashtra,Summer,rainfed,low,blackgram
26,34,34,31.21,36.6,6.84,93.66,Maharashtra,Summer,rainfed,low,blackgram
30,33,34,32.33,38.57,6.83,103.39,Maharashtra,Summer,rainfed,low,blackgram
39,31,28,33.19,39.31,6.62,80.97,Maharashtra,Summer,rainfed,low,blackgram
28,31,30,34.32,35.35,6.49,57.8,Maharashtra,Summer,rainfed,low,blackgram
32,33,37,33.28,33.63,7.1,95.04,Maharashtra,Summer,rainfed,low,blackgram
32,34,28,34.31,35.95,6.9,64.89,Maharashtra,Summer,rainfed,low,blackgram
38,29,35,32.82,39.64,6.95,93.67,Maharashtra,Summer,rainfed,low,blackgram
32,29,27,34.29,44.77,6.55,118.05,Maharashtra,Summer,rainfed,low,blackgram
26,34,26,32.12,36.66,7.17,76.11,Maharashtra,Summer,rainfed,low,blackgram
25,36,32,33.92,43.0,6.58,87.36,Maharashtra,Summer,rainfed,low,blackgram
27,32,29,31.05,34.89,6.97,87.57,Maharashtra,Summer,rainfed,low,blackgram
32,27,28,31.46,31.47,6.55,103.63,Maharashtra,Summer,rainfed,low,blackgram
37,35,28,32.42,35.18,6.84,74.53,Maharashtra,Summer,rainfed,low,blackgram
34,33,26,32.38,41.48,7.53,67.84,Maharashtra,Summer,rainfed,low,blackgram
32,30,38,33.87,37.56,7.09,84.55,Maharashtra,Summer,rainfed,low,blackgram
38,30,30,33.98,46.31,7.0,89.15,Maharashtra,Summer,rainfed,low,blackgram
36,42,29,31.52,42.69,7.2,78.02,Maharashtra,Summer,rainfed,low,blackgram
27,27,30,33.64,45.44,6.15,83.97,Maharashtra,Summer,rainfed,low,blackgram
35,28,32,32.17,45.11,7.2,92.71,Maharashtra,Summer,rainfed,low,blackgram
28,36,31,32.63,37.91,6.98,115.11,Maharashtra,Summer,rainfed,low,blackgram
26,42,32,31.56,41.45,6.83,85.24,Maharashtra,Summer,rainfed,low,blackgram
33,33,33,33.46,37.93,6.81,124.08,Maharashtra,Summer,rainfed,low,blackgram
21,31,30,31.64,37.54,6.93,87.48,Maharashtra,Summer,rainfed,low,blackgram
33,26,28,32.94,38.84,6.89,77.22,Maharashtra,Summer,rainfed,low,blackgram
35,34,30,33.88,37.61,6.96,75.4,Maharashtra,Summer,rainfed,low,blackgram
28,33,30,32.2,41.92,6.51,107.81,Maharashtra,Summer,rainfed,low,blackgram
32,29,34,31.99,38.77,7.17,107.44,Maharashtra,Summer,rainfed,low,blackgram
35,31,28,36.23,35.94,6.82,117.78,Maharashtra,Summer,rainfed,low,blackgram
32,41,31,31.59,46.27,6.16,97.84,Maharashtra,Summer,rainfed,low,blackgram
36,35,25,30.95,41.0,7.04,87.59,Maharashtra,Summer,rainfed,low,blackgram
31,35,34,33.24,35.46,6.92,92.83,Maharashtra,Summer,rainfed,low,blackgram
40,36,30,36.29,44.15,7.27,92.84,Maharashtra,Summer,rainfed,low,blackgram
30,27,32,31.63,41.17,6.39,106.69,Maharashtra,Summer,rainfed,low,blackgram
26,34,26,34.13,33.96,6.45,134.77,Maharashtra,Summer,rainfed,low,blackgram
26,39,30,32.82,43.01,7.29,115.57,Maharashtra,Summer,rainfed,low,blackgram
27,33,34,30.48,39.34,6.44,105.22,Maharashtra,Summer,rainfed,low,blackgram
28,34,31,33.75,37.71,6.7,89.52,Maharashtra,Summer,rainfed,low,blackgram
37,27,29,37.0,46.78,6.88,77.06,Maharashtra,Summer,rainfed,low,blackgram
35,30,30,34.59,40.66,7.29,86.21,Maharashtra,Summer,rainfed,low,blackgram
38,29,34,34.42,37.3,7.18,66.1,Maharashtra,Summer,rainfed,low,blackgram
36,30,30,32.66,30.89,6.99,121.13,Maharashtra,Summer,rainfed,low,blackgram
30,31,26,31.42,38.32,7.03,69.51,Maharashtra,Summer,rainfed,low,blackgram
27,24,33,33.11,36.71,7.16,83.55,Maharashtra,Summer,rainfed,low,blackgram
31,28,29,31.34,38.85,7.18,76.59,Maharashtra,Summer,rainfed,low,blackgram
28,31,28,34.15,35.84,7.13,97.79,Maharashtra,Summer,rainfed,low,blackgram
31,40,29,32.42,37.51,7.12,95.13,Maharashtra,Summer,rainfed,low,blackgram
31,30,30,35.26,40.0,6.93,93.76,Maharashtra,Summer,rainfed,low,blackgram
37,23,24,32.08,36.19,7.36,90.16,Maharashtra,Summer,rainfed,low,blackgram
31,36,24,30.64,37.59,6.8,89.44,Maharashtra,Summer,rainfed,low,blackgram
35,33,33,33.14,40.86,6.92,97.97,Maharashtra,Summer,rainfed,low,blackgram
26,32,28,33.82,40.21,7.32,40.0,Maharashtra,Summer,rainfed,low,blackgram
30,31,24,33.45,35.66,7.13,82.32,Maharashtra,Summer,rainfed,low,blackgram
40,45,36,32.91,32.97,7.36,78.1,Maharashtra,Summer,rainfed,low,blackgram
37,31,31,32.64,36.32,6.43,113.36,Maharashtra,Summer,rainfed,low,blackgram
34,33,21,32.76,37.42,6.66,78.12,Maharashtra,Summer,rainfed,low,blackgram
31,29,33,33.9,43.16,7.16,134.14,Maharashtra,Summer,rainfed,low,blackgram
27,31,29,32.87,46.18,7.01,131.57,Maharashtra,Summer,rainfed,low,blackgram
44,35,25,32.37,37.12,6.94,78.37,Maharashtra,Summer,rainfed,low,blackgram
23,33,28,33.05,32.53,7.12,62.58,Maharashtra,Summer,rainfed,low,blackgram
30,30,25,32.99,34.87,7.03,94.45,Maharashtra,Summer,rainfed,low,blackgram
28,31,32,33.11,36.64,7.07,70.66,Maharashtra,Summer,rainfed,low,blackgram
29,28,31,32.76,35.65,6.47,99.25,Maharashtra,Summer,rainfed,low,blackgram
32,31,31,32.48,39.45,6.94,83.15,Maharashtra,Summer,rainfed,low,blackgram
20,32,31,31.81,33.07,6.71,87.34,Maharashtra,Summer,rainfed,low,blackgram
32,32,23,31.33,30.0,6.78,92.55,Maharashtra,Summer,rainfed,low,blackgram
31,37,29,34.05,39.69,6.66,62.02,Maharashtra,Summer,rainfed,low,blackgram
32,35,35,33.53,42.54,7.18,81.02,Maharashtra,Summer,rainfed,low,blackgram
26,35,29,31.6,41.88,7.18,103.54,Maharashtra,Summer,rainfed,low,blackgram
30,36,28,33.04,42.5,6.79,83.13,Maharashtra,Summer,rainfed,low,blackgram
35,34,31,32.41,43.39,7.21,83.82,Maharashtra,Summer,rainfed,low,blackgram
25,30,30,31.73,42.32,6.64,98.95,Maharashtra,Summer,rainfed,low,blackgram
44,33,29,33.54,38.84,6.98,80.75,Maharashtra,Summer,rainfed,low,blackgram
33,29,30,34.22,38.48,7.04,79.93,Maharashtra,Summer,rainfed,low,blackgram
27,36,27,32.13,35.46,6.97,102.86,Maharashtra,Summer,rainfed,low,blackgram
25,38,29,33.55,39.32,7.21,66.64,Maharashtra,Summer,rainfed,low,blackgram
37,36,32,35.31,33.81,7.09,86.25,Maharashtra,Summer,rainfed,low,blackgram
32,33,29,31.18,33.43,6.54,76.59,Maharashtra,Summer,rainfed,low,blackgram
27,31,26,34.26,49.66,6.85,89.3,Maharashtra,Summer,rainfed,low,blackgram
29,32,27,35.56,43.11,6.5,85.48,Maharashtra,Summer,rainfed,low,blackgram
34,38,29,34.6,36.68,7.07,89.8,Maharashtra,Summer,rainfed,low,blackgram
32,36,35,31.64,37.49,6.99,74.21,Maharashtra,Summer,rainfed,low,blackgram
35,31,29,32.08,36.61,6.87,63.96,Maharashtra,Summer,rainfed,low,blackgram
29,25,27,33.99,30.95,7.13,84.87,Maharashtra,Summer,rainfed,low,blackgram
33,35,31,30.76,34.6,6.86,75.34,Maharashtra,Summer,rainfed,low,blackgram
36,29,35,34.68,43.19,7.18,83.18,Maharashtra,Summer,rainfed,low,blackgram
32,25,29,32.49,46.1,6.8,108.33,Maharashtra,Summer,rainfed,low,blackgram
32,30,33,31.45,37.48,6.46,113.12,Maharashtra,Summer,rainfed,low,blackgram
31,29,32,33.21,43.93,6.64,95.68,Maharashtra,Summer,rainfed,low,blackgram
30,30,29,32.73,34.44,7.39,86.5,Maharashtra,Summer,rainfed,low,blackgram
29,37,33,30.72,39.52,7.45,69.83,Maharashtra,Summer,rainfed,low,blackgram
32,34,26,31.2,43.38,6.75,91.52,Maharashtra,Summer,rainfed,low,blackgram
25,42,31,33.88,38.51,6.97,101.71,Maharashtra,Summer,rainfed,low,blackgram
37,36,34,35.88,37.97,6.91,72.62,Maharashtra,Summer,rainfed,low,blackgram
30,30,27,33.48,34.38,6.23,76.41,Maharashtra,Summer,rainfed,low,blackgram
25,35,30,33.43,41.59,7.06,100.6,Maharashtra,Summer,rainfed,low,blackgram
37,32,34,32.87,35.97,7.36,84.4,Maharashtra,Summer,rainfed,low,blackgram
30,27,30,33.88,36.66,6.79,90.43,Maharashtra,Summer,rainfed,low,blackgram
30,34,33,29.71,34.08,6.73,87.29,Maharashtra,Summer,rainfed,low,blackgram
27,30,32,31.79,40.19,6.69,52.84,Maharashtra,Summer,rainfed,low,blackgram
31,37,30,32.68,37.79,6.3,81.99,Maharashtra,Summer,rainfed,low,blackgram
34,37,31,30.1,40.03,7.06,94.03,Maharashtra,Summer,rainfed,low,blackgram
40,31,30,32.77,40.32,6.9,80.8,Maharashtra,Summer,rainfed,low,blackgram
33,34,24,30.93,34.67,7.22,108.98,Maharashtra,Summer,rainfed,low,blackgram
26,27,35,33.98,35.33,6.47,98.25,Maharashtra,Summer,rainfed,low,blackgram
32,33,31,33.65,39.56,6.63,117.95,Maharashtra,Summer,rainfed,low,blackgram
21,34,31,34.53,35.84,7.02,92.98,Maharashtra,Summer,rainfed,low,blackgram
32,35,30,34.34,36.92,6.72,96.62,Maharashtra,Summer,rainfed,low,blackgram
27,32,29,30.46,38.91,6.88,90.0,Maharashtra,Summer,rainfed,low,blackgram
33,36,27,34.06,42.19,6.63,112.66,Maharashtra,Summer,rainfed,low,blackgram
29,31,31,32.56,38.66,7.48,110.34,Maharashtra,Summer,rainfed,low,blackgram
36,38,30,32.93,39.24,6.66,55.96,Maharashtra,Summer,rainfed,low,blackgram
32,39,27,34.82,31.17,6.82,107.04,Maharashtra,Summer,rainfed,low,blackgram
34,41,26,31.36,39.55,6.86,102.39,Maharashtra,Summer,rainfed,low,blackgram
28,33,24,32.2,42.75,6.66,75.43,Maharashtra,Summer,rainfed,low,blackgram
20,31,22,31.76,45.65,6.97,88.41,Maharashtra,Summer,rainfed,low,blackgram
34,35,32,31.2,30.16,7.06,108.56,Maharashtra,Summer,rainfed,low,blackgram
29,31,28,33.89,39.81,6.65,48.64,Maharashtra,Summer,rainfed,low,blackgram
39,35,30,32.92,37.07,6.42,77.95,Maharashtra,Summer,rainfed,low,blackgram
34,30,28,32.77,36.8,7.16,66.03,Maharashtra,Summer,rainfed,low,blackgram
27,29,30,31.97,43.65,6.92,82.52,Maharashtra,Summer,rainfed,low,blackgram
30,29,38,30.47,40.17,6.97,64.57,Maharashtra,Summer,rainfed,low,blackgram
27,23,26,33.69,37.04,6.29,66.04,Maharashtra,Summer,rainfed,low,blackgram
27,38,34,32.55,38.83,6.92,99.64,Maharashtra,Summer,rainfed,low,blackgram
31,32,25,33.19,38.82,7.02,68.56,Maharashtra,Summer,rainfed,low,blackgram
38,31,28,31.49,37.03,7.41,87.25,Maharashtra,Summer,rainfed,low,blackgram
32,38,31,32.09,45.09,6.65,108.94,Maharashtra,Summer,rainfed,low,blackgram
33,25,30,33.08,43.16,6.64,112.14,Maharashtra,Summer,rainfed,low,blackgram
29,26,35,33.33,41.03,7.17,70.18,Maharashtra,Summer,rainfed,low,blackgram
42,27,31,32.88,38.58,6.79,63.33,Maharashtra,Summer,rainfed,low,blackgram
41,27,29,32.64,38.66,6.88,92.15,Maharashtra,Summer,rainfed,low,blackgram
30,27,27,31.7,40.43,6.88,97.2,Maharashtra,Summer,rainfed,low,blackgram
38,29,29,34.44,35.5,7.74,95.62,Maharashtra,Summer,rainfed,low,blackgram
28,21,32,34.69,43.73,6.84,83.21,Maharashtra,Summer,rainfed,low,blackgram
22,38,30,33.31,33.89,6.77,104.14,Maharashtra,Summer,rainfed,low,blackgram
31,34,32,32.94,36.13,6.64,95.51,Maharashtra,Summer,rainfed,low,blackgram
42,33,35,30.39,37.48,6.93,84.17,Maharashtra,Summer,rainfed,low,blackgram
30,37,31,33.4,42.46,6.76,96.82,Maharashtra,Summer,rainfed,low,blackgram
36,30,30,32.24,43.5,7.08,81.18,Maharashtra,Summer,rainfed,low,blackgram
33,32,28,33.58,41.55,6.41,57.38,Maharashtra,Summer,rainfed,low,blackgram
36,34,30,31.42,30.88,7.64,98.62,Maharashtra,Summer,rainfed,low,blackgram
37,36,31,33.09,36.75,6.73,89.65,Maharashtra,Summer,rainfed,low,blackgram
29,33,29,33.2,35.66,6.67,95.27,Maharashtra,Summer,rainfed,low,blackgram
32,25,28,35.32,42.43,7.24,115.76,Maharashtra,Summer,rainfed,low,blackgram
31,31,29,35.31,40.46,6.61,116.36,Maharashtra,Summer,rainfed,low,blackgram
38,35,30,30.64,36.2,7.04,88.29,Maharashtra,Summer,rainfed,low,blackgram
35,39,29,31.98,35.75,7.29,64.11,Maharashtra,Summer,rainfed,low,blackgram
32,31,35,33.84,34.33,6.73,82.48,Maharashtra,Summer,rainfed,low,blackgram
22,25,33,32.36,40.78,6.76,83.4,Maharashtra,Summer,rainfed,low,blackgram
31,33,32,32.82,32.88,6.86,89.09,Maharashtra,Summer,rainfed,low,blackgram
25,32,34,33.15,38.99,6.37,76.11,Maharashtra,Summer,rainfed,low,blackgram
29,39,35,33.6,34.43,6.91,74.1,Maharashtra,Summer,rainfed,low,blackgram
30,26,26,33.3,36.42,6.86,74.35,Maharashtra,Summer,rainfed,low,blackgram
28,33,34,30.41,45.45,7.26,102.29,Maharashtra,Summer,rainfed,low,blackgram
30,36,30,32.61,36.19,6.63,71.99,Maharashtra,Summer,rainfed,low,blackgram
37,41,30,33.43,36.79,6.95,79.53,Maharashtra,Summer,rainfed,low,blackgram
41,29,29,31.03,43.27,7.28,82.96,Maharashtra,Summer,rainfed,low,blackgram
25,33,28,31.89,32.23,6.81,93.09,Maharashtra,Summer,rainfed,low,blackgram
33,36,27,32.8,37.09,7.31,118.71,Maharashtra,Summer,rainfed,low,blackgram
36,32,33,31.06,38.4,7.73,83.77,Maharashtra,Summer,rainfed,low,blackgram
34,32,27,30.85,38.97,7.13,108.45,Maharashtra,Summer,rainfed,low,blackgram
33,27,21,34.19,31.19,6.53,84.08,Maharashtra,Summer,rainfed,low,blackgram
28,29,28,35.51,38.77,6.86,85.11,Maharashtra,Summer,rainfed,low,blackgram
39,33,33,33.71,44.43,6.54,71.16,Maharashtra,Summer,rainfed,low,blackgram
35,35,31,31.37,40.04,7.14,55.67,Maharashtra,Summer,rainfed,low,blackgram
27,36,28,32.86,35.36,6.88,98.28,Maharashtra,Summer,rainfed,low,blackgram
22,33,29,33.1,36.36,7.08,89.71,Maharashtra,Summer,rainfed,low,blackgram
23,22,35,32.61,39.03,7.3,110.18,Maharashtra,Summer,rainfed,low,blackgram
34,32,30,36.92,39.11,6.9,78.55,Maharashtra,Summer,rainfed,low,blackgram
29,33,34,31.14,36.51,6.66,76.07,Maharashtra,Summer,rainfed,low,blackgram
32,34,33,31.04,35.6,6.66,59.11,Maharashtra,Summer,rainfed,low,blackgram
38,35,31,34.5,33.98,6.63,70.98,Maharashtra,Summer,rainfed,low,blackgram
37,35,31,33.48,36.26,7.18,70.3,Maharashtra,Summer,rainfed,low,blackgram
25,38,28,33.19,48.32,7.08,102.89,Maharashtra,Summer,rainfed,low,blackgram
38,36,31,30.51,41.33,6.72,67.62,Maharashtra,Summer,rainfed,low,blackgram
39,33,26,32.2,40.57,6.56,59.11,Maharashtra,Summer,rainfed,low,blackgram
41,33,24,32.09,36.11,6.95,66.8,Maharashtra,Summer,rainfed,low,blackgram
31,31,27,32.89,41.6,7.42,68.8,Maharashtra,Summer,rainfed,low,blackgram
36,43,25,32.45,43.22,7.14,91.32,Maharashtra,Summer,rainfed,low,blackgram
32,32,31,32.43,36.47,7.63,100.54,Maharashtra,Summer,rainfed,low,blackgram
28,25,34,33.47,40.87,7.02,96.94,Maharashtra,Summer,rainfed,low,blackgram
29,27,30,33.61,32.71,6.57,77.13,Maharashtra,Summer,rainfed,low,blackgram
43,27,30,33.36,46.96,7.2,80.31,Maharashtra,Summer,rainfed,low,blackgram
26,40,26,31.33,40.24,6.92,87.63,Maharashtra,Summer,rainfed,low,blackgram
34,30,32,34.08,37.82,6.65,67.97,Maharashtra,Summer,rainfed,low,blackgram
35,36,28,31.39,36.1,6.89,75.9,Maharashtra,Summer,rainfed,low,blackgram
29,32,31,35.23,43.48,6.76,104.17,Maharashtra,Summer,rainfed,low,blackgram
37,38,28,32.32,37.91,6.25,107.83,Maharashtra,Summer,rainfed,low,blackgram
33,26,27,35.17,33.57,6.74,77.05,Maharashtra,Summer,rainfed,low,blackgram
27,32,26,31.92,42.31,6.79,73.53,Maharashtra,Summer,rainfed,low,blackgram
25,29,36,33.06,39.47,7.63,136.96,Maharashtra,Summer,rainfed,low,blackgram
31,32,28,34.83,38.92,6.43,137.01,Maharashtra,Summer,rainfed,low,blackgram
31,27,27,32.25,38.24,7.17,104.54,Maharashtra,Summer,rainfed,low,blackgram
32,31,32,32.99,48.28,6.4,95.18,Maharashtra,Summer,rainfed,low,blackgram
27,36,27,32.77,41.45,7.49,68.64,Maharashtra,Summer,rainfed,low,blackgram
34,41,27,34.08,41.85,6.27,99.07,Maharashtra,Summer,rainfed,low,blackgram
22,31,28,31.87,39.38,6.6,108.88,Maharashtra,Summer,rainfed,low,blackgram
32,31,31,31.88,34.24,7.23,75.61,Maharashtra,Summer,rainfed,low,blackgram
